condition,scale,subject,epoch,accuracy,auc,fmeasure
test_only,0.5,6,41,0.4079861111111111,0.6924270190329218,0.4092454219940599
test_only,0.5,7,30,0.2690972222222222,0.6031901041666666,0.17066712874718418
test_only,0.5,8,,0.609375,0.8812532150205761,0.5890355338170234
test_only,0.5,9,56,0.625,0.8630682548868313,0.6225675857478243
test_only,1.5,1,,0.640625,0.8781587577160493,0.6308127946340043
test_only,1.5,2,16,0.3003472222222222,0.5525012860082305,0.29153184570887675
test_only,1.5,3,42,0.7100694444444444,0.9298080632716049,0.7127523005873887
test_only,1.5,4,20,0.46875,0.6984029385288065,0.4442577241899639
test_only,1.5,5,15,0.234375,0.5181809413580247,0.12442694421417826
test_only,1.5,6,15,0.2760416666666667,0.5561222029320988,0.21649531842116448
test_only,1.5,7,22,0.390625,0.6590591242283951,0.35723910480932064
test_only,1.5,8,26,0.6805555555555556,0.895925765174897,0.6812780651497234
test_only,1.5,9,15,0.2743055555555556,0.6739004629629629,0.14881263957576574
test_only,2.0,1,23,0.4895833333333333,0.8376334233539096,0.46041884156859847
test_only,2.0,2,17,0.2795138888888889,0.5723259066358025,0.24302465516958677
test_only,2.0,3,47,0.6840277777777778,0.9181335198045267,0.6853407121338366
test_only,2.0,4,16,0.3315972222222222,0.6548152970679011,0.2877181567837885
test_only,2.0,5,15,0.2725694444444444,0.5243095743312757,0.18289403096679963
test_only,2.0,6,15,0.2552083333333333,0.513697997042181,0.11435356743446716
test_only,2.0,7,16,0.34375,0.6321172518004116,0.30398502176238584
test_only,2.0,8,25,0.6024305555555556,0.8553361304012346,0.6060152912573032
test_only,2.0,9,15,0.25,0.6958108281893005,0.100418410041841
test_only,2.5,1,36,0.5555555555555556,0.8605886702674898,0.5562095016702743
test_only,2.5,2,15,0.2586805555555556,0.5185868377057613,0.15355076975007204
test_only,2.5,3,15,0.2604166666666667,0.6829366801697531,0.12155700296352598
test_only,2.5,4,15,0.2569444444444444,0.6241540477109053,0.13818184268494826
test_only,2.5,5,15,0.2760416666666667,0.5164649241255145,0.16381706978037253
test_only,2.5,6,15,0.25,0.5663941936728396,0.100418410041841
test_only,2.5,7,15,0.2534722222222222,0.5999590084876543,0.11387797070089986
test_only,2.5,8,22,0.6319444444444444,0.8637393904320988,0.6228550519973826
test_only,2.5,9,15,0.2638888888888889,0.6554824138374485,0.12951559934318554
